,authors,title,journal,publisher,volume,year,pages,full_ref,source_file,source_title
0,"F, a, n, g, y, u, a, n,  , L, e, i, a, ,,  , D, a,  , H, u, a, n, g, a, ,,  , J, i, a, n, j, i, a, n,  , J, i, a, n, g, a, ,,  , R, u, i, j, u, n,  , M, a, ,,  , S, e, n, h, o, n, g,  , W, a, n, g, ,,  , J, i, a, n, g, z, h, o, n, g,  , C, a, o, ,,  , Y, u, s, e, n,  , L, i, n, ,,  , Q, i, n, g, y, u, n,  , D, a, i","PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database",arXiv,,,2021,,,2106.12139.pdf,
0,,,,,,,,"J. Deng, W. Dong, R. Socher, L.-J. Li, K. Li, L. Fei-Fei, Imagenet: A large-scale hierarchical image database,    2009",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,"Z. Liu, P. Luo, S. Qiu, X. Wang, X. Tang",Deepfashion: Powering robust clothes recognition and retrieval with   rich annotations," Proceedings of the IEEE conference on computer vision and pattern recognition, ",,,2016,,"Z. Liu, P. Luo, S. Qiu, X. Wang, X. Tang, Deepfashion: Powering robust clothes recognition and retrieval with   rich annotations,  Proceedings of the IEEE conference on computer vision and pattern recognition, 2016",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,"B. de Bruijn, T.A. Nguyen, D. Bucur, K. Tei",Benchmark Datasets for Fault Detection and Classification in   Sensor Data," SENSORNETS, ",,,2016,,"B. de Bruijn, T.A. Nguyen, D. Bucur, K. Tei, Benchmark Datasets for Fault Detection and Classification in   Sensor Data,  SENSORNETS, 2016",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,"K. Mo, S. Zhu, A.X. Chang, L. Yi, S. Tripathi, L.J. Guibas, H. Su",Partnet: A large-scale benchmark for fine grained  and  hierarchical  part-level  3d  object  understanding,"   Proceedings  of  the  IEEE/CVF  Conference  on   Computer Vision and Pattern Recognition, ",,,2019,,"K. Mo, S. Zhu, A.X. Chang, L. Yi, S. Tripathi, L.J. Guibas, H. Su, Partnet: A large-scale benchmark for fine-  grained  and  hierarchical  part-level  3d  object  understanding,    Proceedings  of  the  IEEE/CVF  Conference  on   Computer Vision and Pattern Recognition, 2019",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,"R. He, C. Lin, J. McAuley",Fashionista: A fashion-aware graphical system for exploring visually similar items,"   Proceedings of the 25th International Conference Companion on World Wide Web, ",,,2016,,"R. He, C. Lin, J. McAuley, Fashionista: A fashion-aware graphical system for exploring visually similar items,    Proceedings of the 25th International Conference Companion on World Wide Web, 2016",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,"C. Szegedy, W. Liu, Y. Jia, P. Sermanet, S. Reed, D. Anguelov, D. Erhan, V. Vanhoucke, A. Rabinovich",Going   deeper with convolutions," Proceedings of the IEEE conference on computer vision and pattern recognition, ",,,2015,,"C. Szegedy, W. Liu, Y. Jia, P. Sermanet, S. Reed, D. Anguelov, D. Erhan, V. Vanhoucke, A. Rabinovich, Going   deeper with convolutions,  Proceedings of the IEEE conference on computer vision and pattern recognition, 2015",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,"Z. Cao, M. Long, J. Wang, P.S. Yu",Hashnet: Deep learning to hash by continuation," Proceedings of the IEEE   international conference on computer vision, ",,,2017,,"Z. Cao, M. Long, J. Wang, P.S. Yu, Hashnet: Deep learning to hash by continuation,  Proceedings of the IEEE   international conference on computer vision, 2017",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,,,,,,,,"A. Ng, M. Jordan, Y. Weiss, On Spectral Clustering: Analysis and an algorithm, in: T. Dietterich, S. Becker, Z.   Ghahramani (Eds.) Advances in Neural Information Processing Systems, MIT Press, 2002",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
0,"E. Amigó, J. Gonzalo, J. Artiles, F. Verdejo",A comparison of extrinsic clustering evaluation metrics based on   formal constraints,"Information retrieval, ",,12 ,2009,461-486,"E. Amigó, J. Gonzalo, J. Artiles, F. Verdejo, A comparison of extrinsic clustering evaluation metrics based on   formal constraints, Information retrieval, 12 (2009) 461-486",2106.12139.pdf,"PatentNet: A Large-Scale Incomplete Multiview, Multimodal, Multilabel Industrial Goods Image Database"
